ID attività,Data dell’attività,Nome attività,Tipo attività,Descrizione dell’attività,Tempo complessivo,Distanza,Sforzo relativo,Spostamenti vari,Attrezzatura attività,Nome del file,Peso dell’atleta,Peso della bici,Tempo complessivo,Tempo in movimento,Distanza,Velocità massima,Velocità media,Dislivello complessivo,Perdita di dislivello,Dislivello minimo,Dislivello massimo,Pendenza massima,Pendenza media,Pendenza positiva media,Pendenza negativa media,Cadenza massima,Cadenza media,Frequenza cardiaca massima,Frequenza cardiaca media,Watt massimi,Watt medi,Calorie,Temperatura massima,Temperatura media,Sforzo relativo,Lavoro totale,Numero di corse,Tempo in salita,Tempo in discesa,Altro tempo,Sforzo percepito,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.type,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.start_time,Potenza media ponderata,Conteggio potenza,Usa Sforzo percepito,Sforzo relativo percepito,Spostamenti vari,Peso totale sollevato,Da caricamento,Distanza regolata in base alla pendenza,Ora osservazione meteorologica,Condizioni meteorologiche,Temperatura atmosferica,Temperatura apparente,Punto di rugiada,Umidità,Pressione atmosferica,Velocità del vento,Raffica di vento,Direzione del vento,Intensità precipitazione,Ora dell’alba,Ora del tramonto,Fase lunare,Bicicletta,Attrezzatura,Probabilità di precipitazione,Tipo di precipitazione,Copertura nuvolosa,Visibilità,Indice UV,Livelli di ozono,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.avg_flow
1958710985,"11 nov 2018, 12:25:37",The mountain and the sea,Ciclismo,,5362,"29,28",,false,,activities/1958710985.gpx,0.0,,5362.0,5041.0,29282.69921875,18.100000381469727,,503.82611083984375,,133.10000610351562,607.4000244140625,13.5,-0.20933862030506134,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969840178,"17 nov 2018, 13:21:35",Olives oranges and overcast,Ciclismo,,6707,"38,56",,false,,activities/1969840178.gpx,0.0,,6707.0,5857.0,38565.0,16.600000381469727,,382.8827819824219,,13.199999809265137,313.29998779296875,16.399999618530273,-0.2650071382522583,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996289654,"02 dic 2018, 12:55:10",A decent descent (one way),Ciclismo,,2116,"15,82",,false,,activities/1996289654.gpx,0.0,,2116.0,2005.0,15819.0,13.0,,11.678770065307617,,133.3000030517578,839.2999877929688,4.5,-4.462987422943115,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012432844,"11 dic 2018, 20:40:02",The hills of San Nullo ,Corsa,,716,"2,47",,false,,activities/2012432844.gpx,0.0,,716.0,682.0,2475.199951171875,6.099999904632568,,63.44512939453125,,123.5999984741211,190.89999389648438,14.5,-0.3191661238670349,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2068918617,"10 gen 2019, 12:56:03",Smoke or clouds?,Ciclismo,,6583,"43,42",,false,,activities/2068918617.gpx,0.0,,6583.0,6182.0,43423.0,12.800000190734863,,122.03128051757812,,4.099999904632568,140.1999969482422,12.0,-0.26690924167633057,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105972009,"27 gen 2019, 07:40:19",Sledding for Days,Corsa,,3459,"6,90",,false,,activities/2105972009.gpx,0.0,,3459.0,1869.0,6899.60009765625,20.600000381469727,,43.877079010009766,,1203.5,1553.4000244140625,10.399999618530273,-5.071308612823486,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115229367,"29 gen 2019, 05:33:19",Giro mattutino,Ciclismo,,10621,"6,99",,false,,activities/2115229367.gpx,0.0,,10621.0,1086.0,6990.89990234375,13.100000381469727,,45.97789764404297,,15.699999809265137,143.6999969482422,14.699999809265137,-1.8309516906738281,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115230008,"20 gen 2019, 06:10:38",Corsa mattutina,Corsa,,7642,"11,06",,false,,activities/2115230008.gpx,0.0,,7642.0,6017.0,11059.599609375,5.400000095367432,,465.4991760253906,,804.5,1190.9000244140625,28.0,-0.18988028168678284,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115230559,"21 gen 2019, 08:18:47",Giro mattutino,Ciclismo,,13574,"9,13",,false,,activities/2115230559.gpx,0.0,,13574.0,1549.0,9134.5,15.600000381469727,,143.21852111816406,,39.0,144.10000610351562,11.600000381469727,0.00328425201587379,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115231150,"22 gen 2019, 08:47:01",Giro mattutino,Ciclismo,,7851,"17,14",,false,,activities/2115231150.gpx,0.0,,7851.0,4500.0,17140.5,12.899999618530273,,210.48843383789062,,7.800000190734863,143.8000030517578,15.300000190734863,0.008751203306019306,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
